#,Name,Type 1,Type 2,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
1.0,Bulbasaur,Grass,Poison,45.0,49.0,49.0,65.0,65.0,45.0,1.0,False
2.0,Ivysaur,Grass,Poison,60.0,62.0,63.0,80.0,80.0,60.0,1.0,False
3.0,Venusaur,Grass,Poison,80.0,82.0,83.0,100.0,100.0,80.0,1.0,False
3.0,VenusaurMega Venusaur,Grass,Poison,80.0,100.0,123.0,122.0,120.0,80.0,1.0,False
4.0,Charmander,Fire,,39.0,52.0,43.0,60.0,50.0,65.0,1.0,False
5.0,Charmeleon,Fire,,58.0,64.0,58.0,80.0,65.0,80.0,1.0,False
6.0,Charizard,Fire,Flying,78.0,84.0,78.0,109.0,85.0,100.0,1.0,False
6.0,CharizardMega Charizard X,Fire,Dragon,78.0,130.0,111.0,130.0,85.0,100.0,1.0,False
6.0,CharizardMega Charizard Y,Fire,Flying,78.0,104.0,78.0,159.0,115.0,100.0,1.0,False
7.0,Squirtle,Water,,44.0,48.0,65.0,50.0,64.0,43.0,1.0,False
8.0,Wartortle,Water,,59.0,63.0,80.0,65.0,80.0,58.0,1.0,False
9.0,Blastoise,Water,,79.0,83.0,100.0,85.0,105.0,78.0,1.0,False
9.0,BlastoiseMega Blastoise,Water,,79.0,103.0,120.0,135.0,115.0,78.0,1.0,False
10.0,Caterpie,Bug,,45.0,30.0,35.0,20.0,20.0,45.0,1.0,False
11.0,Metapod,Bug,,50.0,20.0,55.0,25.0,25.0,30.0,1.0,False
12.0,Butterfree,Bug,Flying,60.0,45.0,50.0,90.0,80.0,70.0,1.0,False
13.0,Weedle,Bug,Poison,40.0,35.0,30.0,20.0,20.0,50.0,1.0,False
14.0,Kakuna,Bug,Poison,45.0,25.0,50.0,25.0,25.0,35.0,1.0,False
15.0,Beedrill,Bug,Poison,65.0,90.0,40.0,45.0,80.0,75.0,1.0,False
15.0,BeedrillMega Beedrill,Bug,Poison,65.0,150.0,40.0,15.0,80.0,145.0,1.0,False
16.0,Pidgey,Normal,Flying,40.0,45.0,40.0,35.0,35.0,56.0,1.0,False
17.0,Pidgeotto,Normal,Flying,63.0,60.0,55.0,50.0,50.0,71.0,1.0,False
18.0,Pidgeot,Normal,Flying,83.0,80.0,75.0,70.0,70.0,101.0,1.0,False
18.0,PidgeotMega Pidgeot,Normal,Flying,83.0,80.0,80.0,135.0,80.0,121.0,1.0,False
19.0,Rattata,Normal,,30.0,56.0,35.0,25.0,35.0,72.0,1.0,False
20.0,Raticate,Normal,,55.0,81.0,60.0,50.0,70.0,97.0,1.0,False
21.0,Spearow,Normal,Flying,40.0,60.0,30.0,31.0,31.0,70.0,1.0,False
22.0,Fearow,Normal,Flying,65.0,90.0,65.0,61.0,61.0,100.0,1.0,False
23.0,Ekans,Poison,,35.0,60.0,44.0,40.0,54.0,55.0,1.0,False
24.0,Arbok,Poison,,60.0,85.0,69.0,65.0,79.0,80.0,1.0,False
25.0,Pikachu,Electric,,35.0,55.0,40.0,50.0,50.0,90.0,1.0,False
26.0,Raichu,Electric,,60.0,90.0,55.0,90.0,80.0,110.0,1.0,False
27.0,Sandshrew,Ground,,50.0,75.0,85.0,20.0,30.0,40.0,1.0,False
28.0,Sandslash,Ground,,75.0,100.0,110.0,45.0,55.0,65.0,1.0,False
29.0,Nidoran (Female),Poison,,55.0,47.0,52.0,40.0,40.0,41.0,1.0,False
30.0,Nidorina,Poison,,70.0,62.0,67.0,55.0,55.0,56.0,1.0,False
31.0,Nidoqueen,Poison,Ground,90.0,92.0,87.0,75.0,85.0,76.0,1.0,False
32.0,Nidoran (Male),Poison,,46.0,57.0,40.0,40.0,40.0,50.0,1.0,False
33.0,Nidorino,Poison,,61.0,72.0,57.0,55.0,55.0,65.0,1.0,False
34.0,Nidoking,Poison,Ground,81.0,102.0,77.0,85.0,75.0,85.0,1.0,False
35.0,Clefairy,Fairy,,70.0,45.0,48.0,60.0,65.0,35.0,1.0,False
36.0,Clefable,Fairy,,95.0,70.0,73.0,95.0,90.0,60.0,1.0,False
37.0,Vulpix,Fire,,38.0,41.0,40.0,50.0,65.0,65.0,1.0,False
38.0,Ninetales,Fire,,73.0,76.0,75.0,81.0,100.0,100.0,1.0,False
39.0,Jigglypuff,Normal,Fairy,115.0,45.0,20.0,45.0,25.0,20.0,1.0,False
40.0,Wigglytuff,Normal,Fairy,140.0,70.0,45.0,85.0,50.0,45.0,1.0,False
41.0,Zubat,Poison,Flying,40.0,45.0,35.0,30.0,40.0,55.0,1.0,False
42.0,Golbat,Poison,Flying,75.0,80.0,70.0,65.0,75.0,90.0,1.0,False
43.0,Oddish,Grass,Poison,45.0,50.0,55.0,75.0,65.0,30.0,1.0,False
44.0,Gloom,Grass,Poison,60.0,65.0,70.0,85.0,75.0,40.0,1.0,False
45.0,Vileplume,Grass,Poison,75.0,80.0,85.0,110.0,90.0,50.0,1.0,False
46.0,Paras,Bug,Grass,35.0,70.0,55.0,45.0,55.0,25.0,1.0,False
47.0,Parasect,Bug,Grass,60.0,95.0,80.0,60.0,80.0,30.0,1.0,False
48.0,Venonat,Bug,Poison,60.0,55.0,50.0,40.0,55.0,45.0,1.0,False
49.0,Venomoth,Bug,Poison,70.0,65.0,60.0,90.0,75.0,90.0,1.0,False
50.0,Diglett,Ground,,10.0,55.0,25.0,35.0,45.0,95.0,1.0,False
51.0,Dugtrio,Ground,,35.0,80.0,50.0,50.0,70.0,120.0,1.0,False
52.0,Meowth,Normal,,40.0,45.0,35.0,40.0,40.0,90.0,1.0,False
53.0,Persian,Normal,,65.0,70.0,60.0,65.0,65.0,115.0,1.0,False
54.0,Psyduck,Water,,50.0,52.0,48.0,65.0,50.0,55.0,1.0,False
55.0,Golduck,Water,,80.0,82.0,78.0,95.0,80.0,85.0,1.0,False
56.0,Mankey,Fighting,,40.0,80.0,35.0,35.0,45.0,70.0,1.0,False
57.0,Primeape,Fighting,,65.0,105.0,60.0,60.0,70.0,95.0,1.0,False
58.0,Growlithe,Fire,,55.0,70.0,45.0,70.0,50.0,60.0,1.0,False
59.0,Arcanine,Fire,,90.0,110.0,80.0,100.0,80.0,95.0,1.0,False
60.0,Poliwag,Water,,40.0,50.0,40.0,40.0,40.0,90.0,1.0,False
61.0,Poliwhirl,Water,,65.0,65.0,65.0,50.0,50.0,90.0,1.0,False
62.0,Poliwrath,Water,Fighting,90.0,95.0,95.0,70.0,90.0,70.0,1.0,False
63.0,Abra,Psychic,,25.0,20.0,15.0,105.0,55.0,90.0,1.0,False
64.0,Kadabra,Psychic,,40.0,35.0,30.0,120.0,70.0,105.0,1.0,False
65.0,Alakazam,Psychic,,55.0,50.0,45.0,135.0,95.0,120.0,1.0,False
65.0,AlakazamMega Alakazam,Psychic,,55.0,50.0,65.0,175.0,95.0,150.0,1.0,False
66.0,Machop,Fighting,,70.0,80.0,50.0,35.0,35.0,35.0,1.0,False
67.0,Machoke,Fighting,,80.0,100.0,70.0,50.0,60.0,45.0,1.0,False
68.0,Machamp,Fighting,,90.0,130.0,80.0,65.0,85.0,55.0,1.0,False
69.0,Bellsprout,Grass,Poison,50.0,75.0,35.0,70.0,30.0,40.0,1.0,False
70.0,Weepinbell,Grass,Poison,65.0,90.0,50.0,85.0,45.0,55.0,1.0,False
71.0,Victreebel,Grass,Poison,80.0,105.0,65.0,100.0,70.0,70.0,1.0,False
72.0,Tentacool,Water,Poison,40.0,40.0,35.0,50.0,100.0,70.0,1.0,False
73.0,Tentacruel,Water,Poison,80.0,70.0,65.0,80.0,120.0,100.0,1.0,False
74.0,Geodude,Rock,Ground,40.0,80.0,100.0,30.0,30.0,20.0,1.0,False
75.0,Graveler,Rock,Ground,55.0,95.0,115.0,45.0,45.0,35.0,1.0,False
76.0,Golem,Rock,Ground,80.0,120.0,130.0,55.0,65.0,45.0,1.0,False
77.0,Ponyta,Fire,,50.0,85.0,55.0,65.0,65.0,90.0,1.0,False
78.0,Rapidash,Fire,,65.0,100.0,70.0,80.0,80.0,105.0,1.0,False
79.0,Slowpoke,Water,Psychic,90.0,65.0,65.0,40.0,40.0,15.0,1.0,False
80.0,Slowbro,Water,Psychic,95.0,75.0,110.0,100.0,80.0,30.0,1.0,False
80.0,SlowbroMega Slowbro,Water,Psychic,95.0,75.0,180.0,130.0,80.0,30.0,1.0,False
81.0,Magnemite,Electric,Steel,25.0,35.0,70.0,95.0,55.0,45.0,1.0,False
82.0,Magneton,Electric,Steel,50.0,60.0,95.0,120.0,70.0,70.0,1.0,False
83.0,Farfetch'd,Normal,Flying,52.0,65.0,55.0,58.0,62.0,60.0,1.0,False
84.0,Doduo,Normal,Flying,35.0,85.0,45.0,35.0,35.0,75.0,1.0,False
85.0,Dodrio,Normal,Flying,60.0,110.0,70.0,60.0,60.0,100.0,1.0,False
86.0,Seel,Water,,65.0,45.0,55.0,45.0,70.0,45.0,1.0,False
87.0,Dewgong,Water,Ice,90.0,70.0,80.0,70.0,95.0,70.0,1.0,False
88.0,Grimer,Poison,,80.0,80.0,50.0,40.0,50.0,25.0,1.0,False
89.0,Muk,Poison,,105.0,105.0,75.0,65.0,100.0,50.0,1.0,False
90.0,Shellder,Water,,30.0,65.0,100.0,45.0,25.0,40.0,1.0,False
91.0,Cloyster,Water,Ice,50.0,95.0,180.0,85.0,45.0,70.0,1.0,False
92.0,Gastly,Ghost,Poison,30.0,35.0,30.0,100.0,35.0,80.0,1.0,False
93.0,Haunter,Ghost,Poison,45.0,50.0,45.0,115.0,55.0,95.0,1.0,False
94.0,Gengar,Ghost,Poison,60.0,65.0,60.0,130.0,75.0,110.0,1.0,False
94.0,GengarMega Gengar,Ghost,Poison,60.0,65.0,80.0,170.0,95.0,130.0,1.0,False
95.0,Onix,Rock,Ground,35.0,45.0,160.0,30.0,45.0,70.0,1.0,False
96.0,Drowzee,Psychic,,60.0,48.0,45.0,43.0,90.0,42.0,1.0,False
97.0,Hypno,Psychic,,85.0,73.0,70.0,73.0,115.0,67.0,1.0,False
98.0,Krabby,Water,,30.0,105.0,90.0,25.0,25.0,50.0,1.0,False
99.0,Kingler,Water,,55.0,130.0,115.0,50.0,50.0,75.0,1.0,False
100.0,Voltorb,Electric,,40.0,30.0,50.0,55.0,55.0,100.0,1.0,False
101.0,Electrode,Electric,,60.0,50.0,70.0,80.0,80.0,140.0,1.0,False
102.0,Exeggcute,Grass,Psychic,60.0,40.0,80.0,60.0,45.0,40.0,1.0,False
103.0,Exeggutor,Grass,Psychic,95.0,95.0,85.0,125.0,65.0,55.0,1.0,False
104.0,Cubone,Ground,,50.0,50.0,95.0,40.0,50.0,35.0,1.0,False
105.0,Marowak,Ground,,60.0,80.0,110.0,50.0,80.0,45.0,1.0,False
106.0,Hitmonlee,Fighting,,50.0,120.0,53.0,35.0,110.0,87.0,1.0,False
107.0,Hitmonchan,Fighting,,50.0,105.0,79.0,35.0,110.0,76.0,1.0,False
108.0,Lickitung,Normal,,90.0,55.0,75.0,60.0,75.0,30.0,1.0,False
109.0,Koffing,Poison,,40.0,65.0,95.0,60.0,45.0,35.0,1.0,False
110.0,Weezing,Poison,,65.0,90.0,120.0,85.0,70.0,60.0,1.0,False
111.0,Rhyhorn,Ground,Rock,80.0,85.0,95.0,30.0,30.0,25.0,1.0,False
112.0,Rhydon,Ground,Rock,105.0,130.0,120.0,45.0,45.0,40.0,1.0,False
113.0,Chansey,Normal,,250.0,5.0,5.0,35.0,105.0,50.0,1.0,False
114.0,Tangela,Grass,,65.0,55.0,115.0,100.0,40.0,60.0,1.0,False
115.0,Kangaskhan,Normal,,105.0,95.0,80.0,40.0,80.0,90.0,1.0,False
115.0,KangaskhanMega Kangaskhan,Normal,,105.0,125.0,100.0,60.0,100.0,100.0,1.0,False
116.0,Horsea,Water,,30.0,40.0,70.0,70.0,25.0,60.0,1.0,False
117.0,Seadra,Water,,55.0,65.0,95.0,95.0,45.0,85.0,1.0,False
118.0,Goldeen,Water,,45.0,67.0,60.0,35.0,50.0,63.0,1.0,False
119.0,Seaking,Water,,80.0,92.0,65.0,65.0,80.0,68.0,1.0,False
120.0,Staryu,Water,,30.0,45.0,55.0,70.0,55.0,85.0,1.0,False
121.0,Starmie,Water,Psychic,60.0,75.0,85.0,100.0,85.0,115.0,1.0,False
122.0,Mr. Mime,Psychic,Fairy,40.0,45.0,65.0,100.0,120.0,90.0,1.0,False
123.0,Scyther,Bug,Flying,70.0,110.0,80.0,55.0,80.0,105.0,1.0,False
124.0,Jynx,Ice,Psychic,65.0,50.0,35.0,115.0,95.0,95.0,1.0,False
125.0,Electabuzz,Electric,,65.0,83.0,57.0,95.0,85.0,105.0,1.0,False
126.0,Magmar,Fire,,65.0,95.0,57.0,100.0,85.0,93.0,1.0,False
127.0,Pinsir,Bug,,65.0,125.0,100.0,55.0,70.0,85.0,1.0,False
127.0,PinsirMega Pinsir,Bug,Flying,65.0,155.0,120.0,65.0,90.0,105.0,1.0,False
128.0,Tauros,Normal,,75.0,100.0,95.0,40.0,70.0,110.0,1.0,False
129.0,Magikarp,Water,,20.0,10.0,55.0,15.0,20.0,80.0,1.0,False
130.0,Gyarados,Water,Flying,95.0,125.0,79.0,60.0,100.0,81.0,1.0,False
130.0,GyaradosMega Gyarados,Water,Dark,95.0,155.0,109.0,70.0,130.0,81.0,1.0,False
131.0,Lapras,Water,Ice,130.0,85.0,80.0,85.0,95.0,60.0,1.0,False
132.0,Ditto,Normal,,48.0,48.0,48.0,48.0,48.0,48.0,1.0,False
133.0,Eevee,Normal,,55.0,55.0,50.0,45.0,65.0,55.0,1.0,False
134.0,Vaporeon,Water,,130.0,65.0,60.0,110.0,95.0,65.0,1.0,False
135.0,Jolteon,Electric,,65.0,65.0,60.0,110.0,95.0,130.0,1.0,False
136.0,Flareon,Fire,,65.0,130.0,60.0,95.0,110.0,65.0,1.0,False
137.0,Porygon,Normal,,65.0,60.0,70.0,85.0,75.0,40.0,1.0,False
138.0,Omanyte,Rock,Water,35.0,40.0,100.0,90.0,55.0,35.0,1.0,False
139.0,Omastar,Rock,Water,70.0,60.0,125.0,115.0,70.0,55.0,1.0,False
140.0,Kabuto,Rock,Water,30.0,80.0,90.0,55.0,45.0,55.0,1.0,False
141.0,Kabutops,Rock,Water,60.0,115.0,105.0,65.0,70.0,80.0,1.0,False
142.0,Aerodactyl,Rock,Flying,80.0,105.0,65.0,60.0,75.0,130.0,1.0,False
142.0,AerodactylMega Aerodactyl,Rock,Flying,80.0,135.0,85.0,70.0,95.0,150.0,1.0,False
143.0,Snorlax,Normal,,160.0,110.0,65.0,65.0,110.0,30.0,1.0,False
144.0,Articuno,Ice,Flying,90.0,85.0,100.0,95.0,125.0,85.0,1.0,True
145.0,Zapdos,Electric,Flying,90.0,90.0,85.0,125.0,90.0,100.0,1.0,True
146.0,Moltres,Fire,Flying,90.0,100.0,90.0,125.0,85.0,90.0,1.0,True
147.0,Dratini,Dragon,,41.0,64.0,45.0,50.0,50.0,50.0,1.0,False
148.0,Dragonair,Dragon,,61.0,84.0,65.0,70.0,70.0,70.0,1.0,False
149.0,Dragonite,Dragon,Flying,91.0,134.0,95.0,100.0,100.0,80.0,1.0,False
150.0,Mewtwo,Psychic,,106.0,110.0,90.0,154.0,90.0,130.0,1.0,True
150.0,MewtwoMega Mewtwo X,Psychic,Fighting,106.0,190.0,100.0,154.0,100.0,130.0,1.0,True
150.0,MewtwoMega Mewtwo Y,Psychic,,106.0,150.0,70.0,194.0,120.0,140.0,1.0,True
151.0,Mew,Psychic,,100.0,100.0,100.0,100.0,100.0,100.0,1.0,False
152.0,Chikorita,Grass,,45.0,49.0,65.0,49.0,65.0,45.0,2.0,False
153.0,Bayleef,Grass,,60.0,62.0,80.0,63.0,80.0,60.0,2.0,False
154.0,Meganium,Grass,,80.0,82.0,100.0,83.0,100.0,80.0,2.0,False
155.0,Cyndaquil,Fire,,39.0,52.0,43.0,60.0,50.0,65.0,2.0,False
156.0,Quilava,Fire,,58.0,64.0,58.0,80.0,65.0,80.0,2.0,False
157.0,Typhlosion,Fire,,78.0,84.0,78.0,109.0,85.0,100.0,2.0,False
158.0,Totodile,Water,,50.0,65.0,64.0,44.0,48.0,43.0,2.0,False
159.0,Croconaw,Water,,65.0,80.0,80.0,59.0,63.0,58.0,2.0,False
160.0,Feraligatr,Water,,85.0,105.0,100.0,79.0,83.0,78.0,2.0,False
161.0,Sentret,Normal,,35.0,46.0,34.0,35.0,45.0,20.0,2.0,False
162.0,Furret,Normal,,85.0,76.0,64.0,45.0,55.0,90.0,2.0,False
163.0,Hoothoot,Normal,Flying,60.0,30.0,30.0,36.0,56.0,50.0,2.0,False
164.0,Noctowl,Normal,Flying,100.0,50.0,50.0,76.0,96.0,70.0,2.0,False
165.0,Ledyba,Bug,Flying,40.0,20.0,30.0,40.0,80.0,55.0,2.0,False
166.0,Ledian,Bug,Flying,55.0,35.0,50.0,55.0,110.0,85.0,2.0,False
167.0,Spinarak,Bug,Poison,40.0,60.0,40.0,40.0,40.0,30.0,2.0,False
168.0,Ariados,Bug,Poison,70.0,90.0,70.0,60.0,60.0,40.0,2.0,False
169.0,Crobat,Poison,Flying,85.0,90.0,80.0,70.0,80.0,130.0,2.0,False
170.0,Chinchou,Water,Electric,75.0,38.0,38.0,56.0,56.0,67.0,2.0,False
171.0,Lanturn,Water,Electric,125.0,58.0,58.0,76.0,76.0,67.0,2.0,False
172.0,Pichu,Electric,,20.0,40.0,15.0,35.0,35.0,60.0,2.0,False
173.0,Cleffa,Fairy,,50.0,25.0,28.0,45.0,55.0,15.0,2.0,False
174.0,Igglybuff,Normal,Fairy,90.0,30.0,15.0,40.0,20.0,15.0,2.0,False
175.0,Togepi,Fairy,,35.0,20.0,65.0,40.0,65.0,20.0,2.0,False
176.0,Togetic,Fairy,Flying,55.0,40.0,85.0,80.0,105.0,40.0,2.0,False
177.0,Natu,Psychic,Flying,40.0,50.0,45.0,70.0,45.0,70.0,2.0,False
178.0,Xatu,Psychic,Flying,65.0,75.0,70.0,95.0,70.0,95.0,2.0,False
179.0,Mareep,Electric,,55.0,40.0,40.0,65.0,45.0,35.0,2.0,False
180.0,Flaaffy,Electric,,70.0,55.0,55.0,80.0,60.0,45.0,2.0,False
181.0,Ampharos,Electric,,90.0,75.0,85.0,115.0,90.0,55.0,2.0,False
181.0,AmpharosMega Ampharos,Electric,Dragon,90.0,95.0,105.0,165.0,110.0,45.0,2.0,False
182.0,Bellossom,Grass,,75.0,80.0,95.0,90.0,100.0,50.0,2.0,False
183.0,Marill,Water,Fairy,70.0,20.0,50.0,20.0,50.0,40.0,2.0,False
184.0,Azumarill,Water,Fairy,100.0,50.0,80.0,60.0,80.0,50.0,2.0,False
185.0,Sudowoodo,Rock,,70.0,100.0,115.0,30.0,65.0,30.0,2.0,False
186.0,Politoed,Water,,90.0,75.0,75.0,90.0,100.0,70.0,2.0,False
187.0,Hoppip,Grass,Flying,35.0,35.0,40.0,35.0,55.0,50.0,2.0,False
188.0,Skiploom,Grass,Flying,55.0,45.0,50.0,45.0,65.0,80.0,2.0,False
189.0,Jumpluff,Grass,Flying,75.0,55.0,70.0,55.0,95.0,110.0,2.0,False
190.0,Aipom,Normal,,55.0,70.0,55.0,40.0,55.0,85.0,2.0,False
191.0,Sunkern,Grass,,30.0,30.0,30.0,30.0,30.0,30.0,2.0,False
192.0,Sunflora,Grass,,75.0,75.0,55.0,105.0,85.0,30.0,2.0,False
193.0,Yanma,Bug,Flying,65.0,65.0,45.0,75.0,45.0,95.0,2.0,False
194.0,Wooper,Water,Ground,55.0,45.0,45.0,25.0,25.0,15.0,2.0,False
195.0,Quagsire,Water,Ground,95.0,85.0,85.0,65.0,65.0,35.0,2.0,False
196.0,Espeon,Psychic,,65.0,65.0,60.0,130.0,95.0,110.0,2.0,False
197.0,Umbreon,Dark,,95.0,65.0,110.0,60.0,130.0,65.0,2.0,False
198.0,Murkrow,Dark,Flying,60.0,85.0,42.0,85.0,42.0,91.0,2.0,False
199.0,Slowking,Water,Psychic,95.0,75.0,80.0,100.0,110.0,30.0,2.0,False
200.0,Misdreavus,Ghost,,60.0,60.0,60.0,85.0,85.0,85.0,2.0,False
201.0,Unown,Psychic,,48.0,72.0,48.0,72.0,48.0,48.0,2.0,False
202.0,Wobbuffet,Psychic,,190.0,33.0,58.0,33.0,58.0,33.0,2.0,False
203.0,Girafarig,Normal,Psychic,70.0,80.0,65.0,90.0,65.0,85.0,2.0,False
204.0,Pineco,Bug,,50.0,65.0,90.0,35.0,35.0,15.0,2.0,False
205.0,Forretress,Bug,Steel,75.0,90.0,140.0,60.0,60.0,40.0,2.0,False
206.0,Dunsparce,Normal,,100.0,70.0,70.0,65.0,65.0,45.0,2.0,False
207.0,Gligar,Ground,Flying,65.0,75.0,105.0,35.0,65.0,85.0,2.0,False
208.0,Steelix,Steel,Ground,75.0,85.0,200.0,55.0,65.0,30.0,2.0,False
208.0,SteelixMega Steelix,Steel,Ground,75.0,125.0,230.0,55.0,95.0,30.0,2.0,False
209.0,Snubbull,Fairy,,60.0,80.0,50.0,40.0,40.0,30.0,2.0,False
210.0,Granbull,Fairy,,90.0,120.0,75.0,60.0,60.0,45.0,2.0,False
211.0,Qwilfish,Water,Poison,65.0,95.0,75.0,55.0,55.0,85.0,2.0,False
212.0,Scizor,Bug,Steel,70.0,130.0,100.0,55.0,80.0,65.0,2.0,False
212.0,ScizorMega Scizor,Bug,Steel,70.0,150.0,140.0,65.0,100.0,75.0,2.0,False
213.0,Shuckle,Bug,Rock,20.0,10.0,230.0,10.0,230.0,5.0,2.0,False
214.0,Heracross,Bug,Fighting,80.0,125.0,75.0,40.0,95.0,85.0,2.0,False
214.0,HeracrossMega Heracross,Bug,Fighting,80.0,185.0,115.0,40.0,105.0,75.0,2.0,False
215.0,Sneasel,Dark,Ice,55.0,95.0,55.0,35.0,75.0,115.0,2.0,False
216.0,Teddiursa,Normal,,60.0,80.0,50.0,50.0,50.0,40.0,2.0,False
217.0,Ursaring,Normal,,90.0,130.0,75.0,75.0,75.0,55.0,2.0,False
218.0,Slugma,Fire,,40.0,40.0,40.0,70.0,40.0,20.0,2.0,False
219.0,Magcargo,Fire,Rock,50.0,50.0,120.0,80.0,80.0,30.0,2.0,False
220.0,Swinub,Ice,Ground,50.0,50.0,40.0,30.0,30.0,50.0,2.0,False
221.0,Piloswine,Ice,Ground,100.0,100.0,80.0,60.0,60.0,50.0,2.0,False
222.0,Corsola,Water,Rock,55.0,55.0,85.0,65.0,85.0,35.0,2.0,False
223.0,Remoraid,Water,,35.0,65.0,35.0,65.0,35.0,65.0,2.0,False
224.0,Octillery,Water,,75.0,105.0,75.0,105.0,75.0,45.0,2.0,False
225.0,Delibird,Ice,Flying,45.0,55.0,45.0,65.0,45.0,75.0,2.0,False
226.0,Mantine,Water,Flying,65.0,40.0,70.0,80.0,140.0,70.0,2.0,False
227.0,Skarmory,Steel,Flying,65.0,80.0,140.0,40.0,70.0,70.0,2.0,False
228.0,Houndour,Dark,Fire,45.0,60.0,30.0,80.0,50.0,65.0,2.0,False
229.0,Houndoom,Dark,Fire,75.0,90.0,50.0,110.0,80.0,95.0,2.0,False
229.0,HoundoomMega Houndoom,Dark,Fire,75.0,90.0,90.0,140.0,90.0,115.0,2.0,False
230.0,Kingdra,Water,Dragon,75.0,95.0,95.0,95.0,95.0,85.0,2.0,False
231.0,Phanpy,Ground,,90.0,60.0,60.0,40.0,40.0,40.0,2.0,False
232.0,Donphan,Ground,,90.0,120.0,120.0,60.0,60.0,50.0,2.0,False
233.0,Porygon2,Normal,,85.0,80.0,90.0,105.0,95.0,60.0,2.0,False
234.0,Stantler,Normal,,73.0,95.0,62.0,85.0,65.0,85.0,2.0,False
235.0,Smeargle,Normal,,55.0,20.0,35.0,20.0,45.0,75.0,2.0,False
236.0,Tyrogue,Fighting,,35.0,35.0,35.0,35.0,35.0,35.0,2.0,False
237.0,Hitmontop,Fighting,,50.0,95.0,95.0,35.0,110.0,70.0,2.0,False
238.0,Smoochum,Ice,Psychic,45.0,30.0,15.0,85.0,65.0,65.0,2.0,False
239.0,Elekid,Electric,,45.0,63.0,37.0,65.0,55.0,95.0,2.0,False
240.0,Magby,Fire,,45.0,75.0,37.0,70.0,55.0,83.0,2.0,False
241.0,Miltank,Normal,,95.0,80.0,105.0,40.0,70.0,100.0,2.0,False
242.0,Blissey,Normal,,255.0,10.0,10.0,75.0,135.0,55.0,2.0,False
243.0,Raikou,Electric,,90.0,85.0,75.0,115.0,100.0,115.0,2.0,True
244.0,Entei,Fire,,115.0,115.0,85.0,90.0,75.0,100.0,2.0,True
245.0,Suicune,Water,,100.0,75.0,115.0,90.0,115.0,85.0,2.0,True
246.0,Larvitar,Rock,Ground,50.0,64.0,50.0,45.0,50.0,41.0,2.0,False
247.0,Pupitar,Rock,Ground,70.0,84.0,70.0,65.0,70.0,51.0,2.0,False
248.0,Tyranitar,Rock,Dark,100.0,134.0,110.0,95.0,100.0,61.0,2.0,False
248.0,TyranitarMega Tyranitar,Rock,Dark,100.0,164.0,150.0,95.0,120.0,71.0,2.0,False
