#,Name,Type 1,Type 2,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
249.0,Lugia,Psychic,Flying,106.0,90.0,130.0,90.0,154.0,110.0,2.0,True
250.0,Ho-oh,Fire,Flying,106.0,130.0,90.0,110.0,154.0,90.0,2.0,True
251.0,Celebi,Psychic,Grass,100.0,100.0,100.0,100.0,100.0,100.0,2.0,False
252.0,Treecko,Grass,,40.0,45.0,35.0,65.0,55.0,70.0,3.0,False
253.0,Grovyle,Grass,,50.0,65.0,45.0,85.0,65.0,95.0,3.0,False
254.0,Sceptile,Grass,,70.0,85.0,65.0,105.0,85.0,120.0,3.0,False
254.0,SceptileMega Sceptile,Grass,Dragon,70.0,110.0,75.0,145.0,85.0,145.0,3.0,False
255.0,Torchic,Fire,,45.0,60.0,40.0,70.0,50.0,45.0,3.0,False
256.0,Combusken,Fire,Fighting,60.0,85.0,60.0,85.0,60.0,55.0,3.0,False
257.0,Blaziken,Fire,Fighting,80.0,120.0,70.0,110.0,70.0,80.0,3.0,False
257.0,BlazikenMega Blaziken,Fire,Fighting,80.0,160.0,80.0,130.0,80.0,100.0,3.0,False
258.0,Mudkip,Water,,50.0,70.0,50.0,50.0,50.0,40.0,3.0,False
259.0,Marshtomp,Water,Ground,70.0,85.0,70.0,60.0,70.0,50.0,3.0,False
260.0,Swampert,Water,Ground,100.0,110.0,90.0,85.0,90.0,60.0,3.0,False
260.0,SwampertMega Swampert,Water,Ground,100.0,150.0,110.0,95.0,110.0,70.0,3.0,False
261.0,Poochyena,Dark,,35.0,55.0,35.0,30.0,30.0,35.0,3.0,False
262.0,Mightyena,Dark,,70.0,90.0,70.0,60.0,60.0,70.0,3.0,False
263.0,Zigzagoon,Normal,,38.0,30.0,41.0,30.0,41.0,60.0,3.0,False
264.0,Linoone,Normal,,78.0,70.0,61.0,50.0,61.0,100.0,3.0,False
265.0,Wurmple,Bug,,45.0,45.0,35.0,20.0,30.0,20.0,3.0,False
266.0,Silcoon,Bug,,50.0,35.0,55.0,25.0,25.0,15.0,3.0,False
267.0,Beautifly,Bug,Flying,60.0,70.0,50.0,100.0,50.0,65.0,3.0,False
268.0,Cascoon,Bug,,50.0,35.0,55.0,25.0,25.0,15.0,3.0,False
269.0,Dustox,Bug,Poison,60.0,50.0,70.0,50.0,90.0,65.0,3.0,False
270.0,Lotad,Water,Grass,40.0,30.0,30.0,40.0,50.0,30.0,3.0,False
271.0,Lombre,Water,Grass,60.0,50.0,50.0,60.0,70.0,50.0,3.0,False
272.0,Ludicolo,Water,Grass,80.0,70.0,70.0,90.0,100.0,70.0,3.0,False
273.0,Seedot,Grass,,40.0,40.0,50.0,30.0,30.0,30.0,3.0,False
274.0,Nuzleaf,Grass,Dark,70.0,70.0,40.0,60.0,40.0,60.0,3.0,False
275.0,Shiftry,Grass,Dark,90.0,100.0,60.0,90.0,60.0,80.0,3.0,False
276.0,Taillow,Normal,Flying,40.0,55.0,30.0,30.0,30.0,85.0,3.0,False
277.0,Swellow,Normal,Flying,60.0,85.0,60.0,50.0,50.0,125.0,3.0,False
278.0,Wingull,Water,Flying,40.0,30.0,30.0,55.0,30.0,85.0,3.0,False
279.0,Pelipper,Water,Flying,60.0,50.0,100.0,85.0,70.0,65.0,3.0,False
280.0,Ralts,Psychic,Fairy,28.0,25.0,25.0,45.0,35.0,40.0,3.0,False
281.0,Kirlia,Psychic,Fairy,38.0,35.0,35.0,65.0,55.0,50.0,3.0,False
282.0,Gardevoir,Psychic,Fairy,68.0,65.0,65.0,125.0,115.0,80.0,3.0,False
282.0,GardevoirMega Gardevoir,Psychic,Fairy,68.0,85.0,65.0,165.0,135.0,100.0,3.0,False
283.0,Surskit,Bug,Water,40.0,30.0,32.0,50.0,52.0,65.0,3.0,False
284.0,Masquerain,Bug,Flying,70.0,60.0,62.0,80.0,82.0,60.0,3.0,False
285.0,Shroomish,Grass,,60.0,40.0,60.0,40.0,60.0,35.0,3.0,False
286.0,Breloom,Grass,Fighting,60.0,130.0,80.0,60.0,60.0,70.0,3.0,False
287.0,Slakoth,Normal,,60.0,60.0,60.0,35.0,35.0,30.0,3.0,False
288.0,Vigoroth,Normal,,80.0,80.0,80.0,55.0,55.0,90.0,3.0,False
289.0,Slaking,Normal,,150.0,160.0,100.0,95.0,65.0,100.0,3.0,False
290.0,Nincada,Bug,Ground,31.0,45.0,90.0,30.0,30.0,40.0,3.0,False
291.0,Ninjask,Bug,Flying,61.0,90.0,45.0,50.0,50.0,160.0,3.0,False
292.0,Shedinja,Bug,Ghost,1.0,90.0,45.0,30.0,30.0,40.0,3.0,False
293.0,Whismur,Normal,,64.0,51.0,23.0,51.0,23.0,28.0,3.0,False
294.0,Loudred,Normal,,84.0,71.0,43.0,71.0,43.0,48.0,3.0,False
295.0,Exploud,Normal,,104.0,91.0,63.0,91.0,73.0,68.0,3.0,False
296.0,Makuhita,Fighting,,72.0,60.0,30.0,20.0,30.0,25.0,3.0,False
297.0,Hariyama,Fighting,,144.0,120.0,60.0,40.0,60.0,50.0,3.0,False
298.0,Azurill,Normal,Fairy,50.0,20.0,40.0,20.0,40.0,20.0,3.0,False
299.0,Nosepass,Rock,,30.0,45.0,135.0,45.0,90.0,30.0,3.0,False
300.0,Skitty,Normal,,50.0,45.0,45.0,35.0,35.0,50.0,3.0,False
301.0,Delcatty,Normal,,70.0,65.0,65.0,55.0,55.0,70.0,3.0,False
302.0,Sableye,Dark,Ghost,50.0,75.0,75.0,65.0,65.0,50.0,3.0,False
302.0,SableyeMega Sableye,Dark,Ghost,50.0,85.0,125.0,85.0,115.0,20.0,3.0,False
303.0,Mawile,Steel,Fairy,50.0,85.0,85.0,55.0,55.0,50.0,3.0,False
303.0,MawileMega Mawile,Steel,Fairy,50.0,105.0,125.0,55.0,95.0,50.0,3.0,False
304.0,Aron,Steel,Rock,50.0,70.0,100.0,40.0,40.0,30.0,3.0,False
305.0,Lairon,Steel,Rock,60.0,90.0,140.0,50.0,50.0,40.0,3.0,False
306.0,Aggron,Steel,Rock,70.0,110.0,180.0,60.0,60.0,50.0,3.0,False
306.0,AggronMega Aggron,Steel,,70.0,140.0,230.0,60.0,80.0,50.0,3.0,False
307.0,Meditite,Fighting,Psychic,30.0,40.0,55.0,40.0,55.0,60.0,3.0,False
308.0,Medicham,Fighting,Psychic,60.0,60.0,75.0,60.0,75.0,80.0,3.0,False
308.0,MedichamMega Medicham,Fighting,Psychic,60.0,100.0,85.0,80.0,85.0,100.0,3.0,False
309.0,Electrike,Electric,,40.0,45.0,40.0,65.0,40.0,65.0,3.0,False
310.0,Manectric,Electric,,70.0,75.0,60.0,105.0,60.0,105.0,3.0,False
310.0,ManectricMega Manectric,Electric,,70.0,75.0,80.0,135.0,80.0,135.0,3.0,False
311.0,Plusle,Electric,,60.0,50.0,40.0,85.0,75.0,95.0,3.0,False
312.0,Minun,Electric,,60.0,40.0,50.0,75.0,85.0,95.0,3.0,False
313.0,Volbeat,Bug,,65.0,73.0,55.0,47.0,75.0,85.0,3.0,False
314.0,Illumise,Bug,,65.0,47.0,55.0,73.0,75.0,85.0,3.0,False
315.0,Roselia,Grass,Poison,50.0,60.0,45.0,100.0,80.0,65.0,3.0,False
316.0,Gulpin,Poison,,70.0,43.0,53.0,43.0,53.0,40.0,3.0,False
317.0,Swalot,Poison,,100.0,73.0,83.0,73.0,83.0,55.0,3.0,False
318.0,Carvanha,Water,Dark,45.0,90.0,20.0,65.0,20.0,65.0,3.0,False
319.0,Sharpedo,Water,Dark,70.0,120.0,40.0,95.0,40.0,95.0,3.0,False
319.0,SharpedoMega Sharpedo,Water,Dark,70.0,140.0,70.0,110.0,65.0,105.0,3.0,False
320.0,Wailmer,Water,,130.0,70.0,35.0,70.0,35.0,60.0,3.0,False
321.0,Wailord,Water,,170.0,90.0,45.0,90.0,45.0,60.0,3.0,False
322.0,Numel,Fire,Ground,60.0,60.0,40.0,65.0,45.0,35.0,3.0,False
323.0,Camerupt,Fire,Ground,70.0,100.0,70.0,105.0,75.0,40.0,3.0,False
323.0,CameruptMega Camerupt,Fire,Ground,70.0,120.0,100.0,145.0,105.0,20.0,3.0,False
324.0,Torkoal,Fire,,70.0,85.0,140.0,85.0,70.0,20.0,3.0,False
325.0,Spoink,Psychic,,60.0,25.0,35.0,70.0,80.0,60.0,3.0,False
326.0,Grumpig,Psychic,,80.0,45.0,65.0,90.0,110.0,80.0,3.0,False
327.0,Spinda,Normal,,60.0,60.0,60.0,60.0,60.0,60.0,3.0,False
328.0,Trapinch,Ground,,45.0,100.0,45.0,45.0,45.0,10.0,3.0,False
329.0,Vibrava,Ground,Dragon,50.0,70.0,50.0,50.0,50.0,70.0,3.0,False
330.0,Flygon,Ground,Dragon,80.0,100.0,80.0,80.0,80.0,100.0,3.0,False
331.0,Cacnea,Grass,,50.0,85.0,40.0,85.0,40.0,35.0,3.0,False
332.0,Cacturne,Grass,Dark,70.0,115.0,60.0,115.0,60.0,55.0,3.0,False
333.0,Swablu,Normal,Flying,45.0,40.0,60.0,40.0,75.0,50.0,3.0,False
334.0,Altaria,Dragon,Flying,75.0,70.0,90.0,70.0,105.0,80.0,3.0,False
334.0,AltariaMega Altaria,Dragon,Fairy,75.0,110.0,110.0,110.0,105.0,80.0,3.0,False
335.0,Zangoose,Normal,,73.0,115.0,60.0,60.0,60.0,90.0,3.0,False
336.0,Seviper,Poison,,73.0,100.0,60.0,100.0,60.0,65.0,3.0,False
337.0,Lunatone,Rock,Psychic,70.0,55.0,65.0,95.0,85.0,70.0,3.0,False
338.0,Solrock,Rock,Psychic,70.0,95.0,85.0,55.0,65.0,70.0,3.0,False
339.0,Barboach,Water,Ground,50.0,48.0,43.0,46.0,41.0,60.0,3.0,False
340.0,Whiscash,Water,Ground,110.0,78.0,73.0,76.0,71.0,60.0,3.0,False
341.0,Corphish,Water,,43.0,80.0,65.0,50.0,35.0,35.0,3.0,False
342.0,Crawdaunt,Water,Dark,63.0,120.0,85.0,90.0,55.0,55.0,3.0,False
343.0,Baltoy,Ground,Psychic,40.0,40.0,55.0,40.0,70.0,55.0,3.0,False
344.0,Claydol,Ground,Psychic,60.0,70.0,105.0,70.0,120.0,75.0,3.0,False
345.0,Lileep,Rock,Grass,66.0,41.0,77.0,61.0,87.0,23.0,3.0,False
346.0,Cradily,Rock,Grass,86.0,81.0,97.0,81.0,107.0,43.0,3.0,False
347.0,Anorith,Rock,Bug,45.0,95.0,50.0,40.0,50.0,75.0,3.0,False
348.0,Armaldo,Rock,Bug,75.0,125.0,100.0,70.0,80.0,45.0,3.0,False
349.0,Feebas,Water,,20.0,15.0,20.0,10.0,55.0,80.0,3.0,False
350.0,Milotic,Water,,95.0,60.0,79.0,100.0,125.0,81.0,3.0,False
351.0,Castform,Normal,,70.0,70.0,70.0,70.0,70.0,70.0,3.0,False
352.0,Kecleon,Normal,,60.0,90.0,70.0,60.0,120.0,40.0,3.0,False
353.0,Shuppet,Ghost,,44.0,75.0,35.0,63.0,33.0,45.0,3.0,False
354.0,Banette,Ghost,,64.0,115.0,65.0,83.0,63.0,65.0,3.0,False
354.0,BanetteMega Banette,Ghost,,64.0,165.0,75.0,93.0,83.0,75.0,3.0,False
355.0,Duskull,Ghost,,20.0,40.0,90.0,30.0,90.0,25.0,3.0,False
356.0,Dusclops,Ghost,,40.0,70.0,130.0,60.0,130.0,25.0,3.0,False
357.0,Tropius,Grass,Flying,99.0,68.0,83.0,72.0,87.0,51.0,3.0,False
358.0,Chimecho,Psychic,,65.0,50.0,70.0,95.0,80.0,65.0,3.0,False
359.0,Absol,Dark,,65.0,130.0,60.0,75.0,60.0,75.0,3.0,False
359.0,AbsolMega Absol,Dark,,65.0,150.0,60.0,115.0,60.0,115.0,3.0,False
360.0,Wynaut,Psychic,,95.0,23.0,48.0,23.0,48.0,23.0,3.0,False
361.0,Snorunt,Ice,,50.0,50.0,50.0,50.0,50.0,50.0,3.0,False
362.0,Glalie,Ice,,80.0,80.0,80.0,80.0,80.0,80.0,3.0,False
362.0,GlalieMega Glalie,Ice,,80.0,120.0,80.0,120.0,80.0,100.0,3.0,False
363.0,Spheal,Ice,Water,70.0,40.0,50.0,55.0,50.0,25.0,3.0,False
364.0,Sealeo,Ice,Water,90.0,60.0,70.0,75.0,70.0,45.0,3.0,False
365.0,Walrein,Ice,Water,110.0,80.0,90.0,95.0,90.0,65.0,3.0,False
366.0,Clamperl,Water,,35.0,64.0,85.0,74.0,55.0,32.0,3.0,False
367.0,Huntail,Water,,55.0,104.0,105.0,94.0,75.0,52.0,3.0,False
368.0,Gorebyss,Water,,55.0,84.0,105.0,114.0,75.0,52.0,3.0,False
369.0,Relicanth,Water,Rock,100.0,90.0,130.0,45.0,65.0,55.0,3.0,False
370.0,Luvdisc,Water,,43.0,30.0,55.0,40.0,65.0,97.0,3.0,False
371.0,Bagon,Dragon,,45.0,75.0,60.0,40.0,30.0,50.0,3.0,False
372.0,Shelgon,Dragon,,65.0,95.0,100.0,60.0,50.0,50.0,3.0,False
373.0,Salamence,Dragon,Flying,95.0,135.0,80.0,110.0,80.0,100.0,3.0,False
373.0,SalamenceMega Salamence,Dragon,Flying,95.0,145.0,130.0,120.0,90.0,120.0,3.0,False
374.0,Beldum,Steel,Psychic,40.0,55.0,80.0,35.0,60.0,30.0,3.0,False
375.0,Metang,Steel,Psychic,60.0,75.0,100.0,55.0,80.0,50.0,3.0,False
376.0,Metagross,Steel,Psychic,80.0,135.0,130.0,95.0,90.0,70.0,3.0,False
376.0,MetagrossMega Metagross,Steel,Psychic,80.0,145.0,150.0,105.0,110.0,110.0,3.0,False
377.0,Regirock,Rock,,80.0,100.0,200.0,50.0,100.0,50.0,3.0,True
378.0,Regice,Ice,,80.0,50.0,100.0,100.0,200.0,50.0,3.0,True
379.0,Registeel,Steel,,80.0,75.0,150.0,75.0,150.0,50.0,3.0,True
380.0,Latias,Dragon,Psychic,80.0,80.0,90.0,110.0,130.0,110.0,3.0,True
380.0,LatiasMega Latias,Dragon,Psychic,80.0,100.0,120.0,140.0,150.0,110.0,3.0,True
381.0,Latios,Dragon,Psychic,80.0,90.0,80.0,130.0,110.0,110.0,3.0,True
381.0,LatiosMega Latios,Dragon,Psychic,80.0,130.0,100.0,160.0,120.0,110.0,3.0,True
382.0,Kyogre,Water,,100.0,100.0,90.0,150.0,140.0,90.0,3.0,True
382.0,KyogrePrimal Kyogre,Water,,100.0,150.0,90.0,180.0,160.0,90.0,3.0,True
383.0,Groudon,Ground,,100.0,150.0,140.0,100.0,90.0,90.0,3.0,True
383.0,GroudonPrimal Groudon,Ground,Fire,100.0,180.0,160.0,150.0,90.0,90.0,3.0,True
384.0,Rayquaza,Dragon,Flying,105.0,150.0,90.0,150.0,90.0,95.0,3.0,True
384.0,RayquazaMega Rayquaza,Dragon,Flying,105.0,180.0,100.0,180.0,100.0,115.0,3.0,True
385.0,Jirachi,Steel,Psychic,100.0,100.0,100.0,100.0,100.0,100.0,3.0,True
386.0,DeoxysNormal Forme,Psychic,,50.0,150.0,50.0,150.0,50.0,150.0,3.0,True
386.0,DeoxysAttack Forme,Psychic,,50.0,180.0,20.0,180.0,20.0,150.0,3.0,True
386.0,DeoxysDefense Forme,Psychic,,50.0,70.0,160.0,70.0,160.0,90.0,3.0,True
386.0,DeoxysSpeed Forme,Psychic,,50.0,95.0,90.0,95.0,90.0,180.0,3.0,True
387.0,Turtwig,Grass,,55.0,68.0,64.0,45.0,55.0,31.0,4.0,False
388.0,Grotle,Grass,,75.0,89.0,85.0,55.0,65.0,36.0,4.0,False
389.0,Torterra,Grass,Ground,95.0,109.0,105.0,75.0,85.0,56.0,4.0,False
390.0,Chimchar,Fire,,44.0,58.0,44.0,58.0,44.0,61.0,4.0,False
391.0,Monferno,Fire,Fighting,64.0,78.0,52.0,78.0,52.0,81.0,4.0,False
392.0,Infernape,Fire,Fighting,76.0,104.0,71.0,104.0,71.0,108.0,4.0,False
393.0,Piplup,Water,,53.0,51.0,53.0,61.0,56.0,40.0,4.0,False
394.0,Prinplup,Water,,64.0,66.0,68.0,81.0,76.0,50.0,4.0,False
395.0,Empoleon,Water,Steel,84.0,86.0,88.0,111.0,101.0,60.0,4.0,False
396.0,Starly,Normal,Flying,40.0,55.0,30.0,30.0,30.0,60.0,4.0,False
397.0,Staravia,Normal,Flying,55.0,75.0,50.0,40.0,40.0,80.0,4.0,False
398.0,Staraptor,Normal,Flying,85.0,120.0,70.0,50.0,60.0,100.0,4.0,False
399.0,Bidoof,Normal,,59.0,45.0,40.0,35.0,40.0,31.0,4.0,False
400.0,Bibarel,Normal,Water,79.0,85.0,60.0,55.0,60.0,71.0,4.0,False
401.0,Kricketot,Bug,,37.0,25.0,41.0,25.0,41.0,25.0,4.0,False
402.0,Kricketune,Bug,,77.0,85.0,51.0,55.0,51.0,65.0,4.0,False
403.0,Shinx,Electric,,45.0,65.0,34.0,40.0,34.0,45.0,4.0,False
404.0,Luxio,Electric,,60.0,85.0,49.0,60.0,49.0,60.0,4.0,False
405.0,Luxray,Electric,,80.0,120.0,79.0,95.0,79.0,70.0,4.0,False
406.0,Budew,Grass,Poison,40.0,30.0,35.0,50.0,70.0,55.0,4.0,False
407.0,Roserade,Grass,Poison,60.0,70.0,65.0,125.0,105.0,90.0,4.0,False
408.0,Cranidos,Rock,,67.0,125.0,40.0,30.0,30.0,58.0,4.0,False
409.0,Rampardos,Rock,,97.0,165.0,60.0,65.0,50.0,58.0,4.0,False
410.0,Shieldon,Rock,Steel,30.0,42.0,118.0,42.0,88.0,30.0,4.0,False
411.0,Bastiodon,Rock,Steel,60.0,52.0,168.0,47.0,138.0,30.0,4.0,False
412.0,Burmy,Bug,,40.0,29.0,45.0,29.0,45.0,36.0,4.0,False
413.0,WormadamPlant Cloak,Bug,Grass,60.0,59.0,85.0,79.0,105.0,36.0,4.0,False
413.0,WormadamSandy Cloak,Bug,Ground,60.0,79.0,105.0,59.0,85.0,36.0,4.0,False
413.0,WormadamTrash Cloak,Bug,Steel,60.0,69.0,95.0,69.0,95.0,36.0,4.0,False
414.0,Mothim,Bug,Flying,70.0,94.0,50.0,94.0,50.0,66.0,4.0,False
415.0,Combee,Bug,Flying,30.0,30.0,42.0,30.0,42.0,70.0,4.0,False
416.0,Vespiquen,Bug,Flying,70.0,80.0,102.0,80.0,102.0,40.0,4.0,False
417.0,Pachirisu,Electric,,60.0,45.0,70.0,45.0,90.0,95.0,4.0,False
418.0,Buizel,Water,,55.0,65.0,35.0,60.0,30.0,85.0,4.0,False
419.0,Floatzel,Water,,85.0,105.0,55.0,85.0,50.0,115.0,4.0,False
420.0,Cherubi,Grass,,45.0,35.0,45.0,62.0,53.0,35.0,4.0,False
421.0,Cherrim,Grass,,70.0,60.0,70.0,87.0,78.0,85.0,4.0,False
422.0,Shellos,Water,,76.0,48.0,48.0,57.0,62.0,34.0,4.0,False
423.0,Gastrodon,Water,Ground,111.0,83.0,68.0,92.0,82.0,39.0,4.0,False
424.0,Ambipom,Normal,,75.0,100.0,66.0,60.0,66.0,115.0,4.0,False
425.0,Drifloon,Ghost,Flying,90.0,50.0,34.0,60.0,44.0,70.0,4.0,False
426.0,Drifblim,Ghost,Flying,150.0,80.0,44.0,90.0,54.0,80.0,4.0,False
427.0,Buneary,Normal,,55.0,66.0,44.0,44.0,56.0,85.0,4.0,False
428.0,Lopunny,Normal,,65.0,76.0,84.0,54.0,96.0,105.0,4.0,False
428.0,LopunnyMega Lopunny,Normal,Fighting,65.0,136.0,94.0,54.0,96.0,135.0,4.0,False
429.0,Mismagius,Ghost,,60.0,60.0,60.0,105.0,105.0,105.0,4.0,False
430.0,Honchkrow,Dark,Flying,100.0,125.0,52.0,105.0,52.0,71.0,4.0,False
431.0,Glameow,Normal,,49.0,55.0,42.0,42.0,37.0,85.0,4.0,False
432.0,Purugly,Normal,,71.0,82.0,64.0,64.0,59.0,112.0,4.0,False
433.0,Chingling,Psychic,,45.0,30.0,50.0,65.0,50.0,45.0,4.0,False
434.0,Stunky,Poison,Dark,63.0,63.0,47.0,41.0,41.0,74.0,4.0,False
435.0,Skuntank,Poison,Dark,103.0,93.0,67.0,71.0,61.0,84.0,4.0,False
436.0,Bronzor,Steel,Psychic,57.0,24.0,86.0,24.0,86.0,23.0,4.0,False
437.0,Bronzong,Steel,Psychic,67.0,89.0,116.0,79.0,116.0,33.0,4.0,False
438.0,Bonsly,Rock,,50.0,80.0,95.0,10.0,45.0,10.0,4.0,False
439.0,Mime Jr.,Psychic,Fairy,20.0,25.0,45.0,70.0,90.0,60.0,4.0,False
440.0,Happiny,Normal,,100.0,5.0,5.0,15.0,65.0,30.0,4.0,False
441.0,Chatot,Normal,Flying,76.0,65.0,45.0,92.0,42.0,91.0,4.0,False
442.0,Spiritomb,Ghost,Dark,50.0,92.0,108.0,92.0,108.0,35.0,4.0,False
443.0,Gible,Dragon,Ground,58.0,70.0,45.0,40.0,45.0,42.0,4.0,False
444.0,Gabite,Dragon,Ground,68.0,90.0,65.0,50.0,55.0,82.0,4.0,False
445.0,Garchomp,Dragon,Ground,108.0,130.0,95.0,80.0,85.0,102.0,4.0,False
445.0,GarchompMega Garchomp,Dragon,Ground,108.0,170.0,115.0,120.0,95.0,92.0,4.0,False
446.0,Munchlax,Normal,,135.0,85.0,40.0,40.0,85.0,5.0,4.0,False
447.0,Riolu,Fighting,,40.0,70.0,40.0,35.0,40.0,60.0,4.0,False
448.0,Lucario,Fighting,Steel,70.0,110.0,70.0,115.0,70.0,90.0,4.0,False
448.0,LucarioMega Lucario,Fighting,Steel,70.0,145.0,88.0,140.0,70.0,112.0,4.0,False
449.0,Hippopotas,Ground,,68.0,72.0,78.0,38.0,42.0,32.0,4.0,False
450.0,Hippowdon,Ground,,108.0,112.0,118.0,68.0,72.0,47.0,4.0,False
451.0,Skorupi,Poison,Bug,40.0,50.0,90.0,30.0,55.0,65.0,4.0,False
452.0,Drapion,Poison,Dark,70.0,90.0,110.0,60.0,75.0,95.0,4.0,False
453.0,Croagunk,Poison,Fighting,48.0,61.0,40.0,61.0,40.0,50.0,4.0,False
454.0,Toxicroak,Poison,Fighting,83.0,106.0,65.0,86.0,65.0,85.0,4.0,False
455.0,Carnivine,Grass,,74.0,100.0,72.0,90.0,72.0,46.0,4.0,False
456.0,Finneon,Water,,49.0,49.0,56.0,49.0,61.0,66.0,4.0,False
457.0,Lumineon,Water,,69.0,69.0,76.0,69.0,86.0,91.0,4.0,False
458.0,Mantyke,Water,Flying,45.0,20.0,50.0,60.0,120.0,50.0,4.0,False
459.0,Snover,Grass,Ice,60.0,62.0,50.0,62.0,60.0,40.0,4.0,False
460.0,Abomasnow,Grass,Ice,90.0,92.0,75.0,92.0,85.0,60.0,4.0,False
460.0,AbomasnowMega Abomasnow,Grass,Ice,90.0,132.0,105.0,132.0,105.0,30.0,4.0,False
461.0,Weavile,Dark,Ice,70.0,120.0,65.0,45.0,85.0,125.0,4.0,False
462.0,Magnezone,Electric,Steel,70.0,70.0,115.0,130.0,90.0,60.0,4.0,False
463.0,Lickilicky,Normal,,110.0,85.0,95.0,80.0,95.0,50.0,4.0,False
464.0,Rhyperior,Ground,Rock,115.0,140.0,130.0,55.0,55.0,40.0,4.0,False
465.0,Tangrowth,Grass,,100.0,100.0,125.0,110.0,50.0,50.0,4.0,False
466.0,Electivire,Electric,,75.0,123.0,67.0,95.0,85.0,95.0,4.0,False
467.0,Magmortar,Fire,,75.0,95.0,67.0,125.0,95.0,83.0,4.0,False
468.0,Togekiss,Fairy,Flying,85.0,50.0,95.0,120.0,115.0,80.0,4.0,False
469.0,Yanmega,Bug,Flying,86.0,76.0,86.0,116.0,56.0,95.0,4.0,False
470.0,Leafeon,Grass,,65.0,110.0,130.0,60.0,65.0,95.0,4.0,False
471.0,Glaceon,Ice,,65.0,60.0,110.0,130.0,95.0,65.0,4.0,False
472.0,Gliscor,Ground,Flying,75.0,95.0,125.0,45.0,75.0,95.0,4.0,False
473.0,Mamoswine,Ice,Ground,110.0,130.0,80.0,70.0,60.0,80.0,4.0,False
474.0,Porygon-Z,Normal,,85.0,80.0,70.0,135.0,75.0,90.0,4.0,False
475.0,Gallade,Psychic,Fighting,68.0,125.0,65.0,65.0,115.0,80.0,4.0,False
475.0,GalladeMega Gallade,Psychic,Fighting,68.0,165.0,95.0,65.0,115.0,110.0,4.0,False
476.0,Probopass,Rock,Steel,60.0,55.0,145.0,75.0,150.0,40.0,4.0,False
477.0,Dusknoir,Ghost,,45.0,100.0,135.0,65.0,135.0,45.0,4.0,False
478.0,Froslass,Ice,Ghost,70.0,80.0,70.0,80.0,70.0,110.0,4.0,False
479.0,Rotom,Electric,Ghost,50.0,50.0,77.0,95.0,77.0,91.0,4.0,False
479.0,RotomHeat Rotom,Electric,Fire,50.0,65.0,107.0,105.0,107.0,86.0,4.0,False
479.0,RotomWash Rotom,Electric,Water,50.0,65.0,107.0,105.0,107.0,86.0,4.0,False
479.0,RotomFrost Rotom,Electric,Ice,50.0,65.0,107.0,105.0,107.0,86.0,4.0,False
